url,category_code,category_description,date_added,source,notes
https://kinox.to/,MMED,Media sharing,2018-02-26,Anonymous,EuGH
https://tr.wikipedia.org/,CTRL,Control content,2018-07-06,Wikimedia,URLs provided by wikipedia based on the most popular language domains per country
https://de.wiktionary.org/,CULTR,Culture,2018-07-06,Wikimedia,URLs provided by wikipedia based on the most popular language domains per country
https://de.m.wikipedia.org/,CULTR,Culture,2019-02-19,Wikimedia,URLs provided by wikipedia based on the most popular language domains per country
https://s.to/,MMED,Media sharing,2019-04-25,Anonymous,Blocked URL
https://bs.to/,MMED,Media sharing,2019-04-25,Anonymous,Blocked URL
https://boerse.to/,MMED,Media sharing,2019-04-25,Anonymous,Blocked URL
https://gen.lib.rus.ec/,CULTR,Culture,2019-04-25,Anonymous,Blocked URL
https://pr0gramm.com/,GRP,Social Networking,2019-05-08,Community member,Controversial german imageboard
https://test.de/,CULTR,Culture,2022-07-07,test-lists.ooni.org contribution,Just a bit of testing.
